class,PCP_MAD,PCP_MPIJAD,PCK,PCIK,MPIJAD,MAD,Sparsity
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.0625719353556633,0.75
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.032873593270778656,0.8333333333333334
tree_pose,1.0,1.0,0.9166666666666666,1.0,0.0,0.04405247047543526,0.75
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.08516840636730194,0.03609749302268028,0.75
tree_pose,1.0,1.0,0.9166666666666666,1.0,0.010196828283369541,0.021752959117293358,0.75
tree_pose,1.0,1.0,0.75,1.0,0.0,0.08998024463653564,0.8333333333333334
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.03218584507703781,0.04283285140991211,0.8333333333333334
tree_pose,0.0,1.0,0.6666666666666666,1.0,0.0,0.16898037493228912,0.75
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.05894432216882706,0.05641453340649605,0.75
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.006489290855824947,0.04566381499171257,0.8333333333333334
tree_pose,1.0,1.0,0.9166666666666666,1.0,0.009681317955255508,0.017813192680478096,0.8333333333333334
tree_pose,0.0,1.0,0.75,1.0,0.044884297996759415,0.10751304775476456,0.75
tree_pose,0.0,0.0,0.6666666666666666,0.5,0.10056690126657486,0.11673151701688766,0.8333333333333334
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.040128547698259354,0.06603866070508957,0.75
tree_pose,1.0,1.0,0.9166666666666666,1.0,0.03953605145215988,0.012505889870226383,0.75
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.06364543735980988,0.034287068992853165,0.75
tree_pose,1.0,1.0,0.8333333333333334,1.0,0.045078154653310776,0.03316325321793556,0.75
tree_pose,1.0,0.0,0.8333333333333334,0.5,0.1337033063173294,0.04411644861102104,0.75
tree_pose,1.0,1.0,0.75,1.0,0.004875370766967535,0.09757044166326523,0.75
tree_pose,1.0,0.0,0.5,0.0,0.19122903048992157,0.08354350179433823,0.6666666666666666
tree_pose,0.0,1.0,0.5,0.5,0.050199441611766815,0.15097200870513916,0.6666666666666666
tree_pose,1.0,1.0,0.6666666666666666,0.5,0.0571247898042202,0.09740686416625977,0.8333333333333334
tree_pose,0.0,1.0,0.75,1.0,0.0464765839278698,0.10758880525827408,0.75
tree_pose,1.0,0.0,0.8333333333333334,0.5,0.13162244856357574,0.033057600259780884,0.75
